============================================================================================================
Arguments =
	approach: path_integral
	batch_size: 100
	clipping: 10000
	datasets: ['miniimagenet']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 2
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 10
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 10
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../miniimagenet_path_integral_result10t
	save_models: False
	seed: 0
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	damping: 0.1
	lamb: 0.1
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 0
============================================================================================================
WARNING: ../miniimagenet_path_integral_result10t/miniimagenet_path_integral already exists!
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  3.8s | Train: skip eval | Valid: time=  0.5s loss=2.552, TAw acc= 26.0% | *
| Epoch  32, time=  1.8s | Train: skip eval | Valid: time=  0.6s loss=1.388, TAw acc= 56.2% |
| Epoch  33, time=  1.8s | Train: skip eval | Valid: time=  0.5s loss=1.216, TAw acc= 58.4% | *
| Epoch  34, time=  1.9s | Train: skip eval | Valid: time=  0.5s loss=1.280, TAw acc= 56.2% |
| Epoch  35, time=  1.9s | Train: skip eval | Valid: time=  0.6s loss=1.311, TAw acc= 56.0% |
| Epoch  36, time=  1.8s | Train: skip eval | Valid: time=  0.6s loss=1.149, TAw acc= 61.0% | *
| Epoch  37, time=  1.7s | Train: skip eval | Valid: time=  0.9s loss=1.193, TAw acc= 59.8% |
| Epoch  38, time=  2.0s | Train: skip eval | Valid: time=  0.7s loss=1.254, TAw acc= 57.8% |
| Epoch  39, time=  1.9s | Train: skip eval | Valid: time=  0.5s loss=1.207, TAw acc= 61.4% |
| Epoch  40, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=1.136, TAw acc= 60.6% | *
| Epoch  41, time=  2.0s | Train: skip eval | Valid: time=  0.5s loss=1.258, TAw acc= 60.0% |
| Epoch  42, time=  2.0s | Train: skip eval | Valid: time=  0.4s loss=1.167, TAw acc= 61.0% |
| Epoch  43, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=1.173, TAw acc= 61.8% |
| Epoch  44, time=  2.0s | Train: skip eval | Valid: time=  0.4s loss=1.232, TAw acc= 59.6% |
| Epoch  45, time=  2.1s | Train: skip eval | Valid: time=  0.5s loss=1.311, TAw acc= 57.2% | lr=5.0e-02
| Epoch  46, time=  1.9s | Train: skip eval | Valid: time=  0.4s loss=1.133, TAw acc= 63.6% | *
| Epoch  47, time=  1.7s | Train: skip eval | Valid: time=  0.6s loss=1.201, TAw acc= 61.6% |
| Epoch  48, time=  1.7s | Train: skip eval | Valid: time=  0.7s loss=1.207, TAw acc= 59.4% |
| Epoch  49, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=1.204, TAw acc= 63.2% |
| Epoch  50, time=  1.9s | Train: skip eval | Valid: time=  0.5s loss=1.198, TAw acc= 59.6% |
| Epoch  51, time=  1.8s | Train: skip eval | Valid: time=  0.7s loss=1.242, TAw acc= 60.0% | lr=5.0e-02
| Epoch  52, time=  1.8s | Train: skip eval | Valid: time=  0.5s loss=1.135, TAw acc= 61.6% |
| Epoch  53, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=1.244, TAw acc= 59.2% |
| Epoch  54, time=  1.9s | Train: skip eval | Valid: time=  0.7s loss=1.158, TAw acc= 61.2% |
| Epoch  55, time=  2.0s | Train: skip eval | Valid: time=  0.6s loss=1.118, TAw acc= 61.2% | *
| Epoch  56, time=  2.0s | Train: skip eval | Valid: time=  0.6s loss=1.230, TAw acc= 61.8% |
| Epoch  57, time=  2.1s | Train: skip eval | Valid: time=  0.9s loss=1.178, TAw acc= 60.4% |
| Epoch  58, time=  1.8s | Train: skip eval | Valid: time=  0.6s loss=1.214, TAw acc= 61.8% |
| Epoch  59, time=  1.8s | Train: skip eval | Valid: time=  0.6s loss=1.104, TAw acc= 63.2% | *
| Epoch  60, time=  2.0s | Train: skip eval | Valid: time=  0.6s loss=1.143, TAw acc= 61.4% |
| Epoch  61, time=  2.0s | Train: skip eval | Valid: time=  0.5s loss=1.100, TAw acc= 64.4% | *
| Epoch  62, time=  2.5s | Train: skip eval | Valid: time=  0.5s loss=1.085, TAw acc= 64.4% | *
| Epoch  63, time=  1.9s | Train: skip eval | Valid: time=  0.5s loss=1.053, TAw acc= 65.0% | *
| Epoch  64, time=  1.9s | Train: skip eval | Valid: time=  0.4s loss=1.108, TAw acc= 62.4% |
| Epoch  65, time=  1.9s | Train: skip eval | Valid: time=  0.5s loss=1.099, TAw acc= 65.4% |
| Epoch  66, time=  2.0s | Train: skip eval | Valid: time=  0.8s loss=1.081, TAw acc= 63.8% |
| Epoch  67, time=  1.8s | Train: skip eval | Valid: time=  0.6s loss=1.078, TAw acc= 65.4% |
| Epoch  68, time=  1.9s | Train: skip eval | Valid: time=  0.7s loss=1.240, TAw acc= 64.2% | lr=5.0e-02
| Epoch  69, time=  1.9s | Train: skip eval | Valid: time=  0.8s loss=1.223, TAw acc= 59.2% |
| Epoch  70, time=  1.8s | Train: skip eval | Valid: time=  1.4s loss=1.325, TAw acc= 61.4% |
| Epoch  71, time=  1.9s | Train: skip eval | Valid: time=  0.7s loss=1.078, TAw acc= 65.4% |
| Epoch  72, time=  1.9s | Train: skip eval | Valid: time=  0.4s loss=1.144, TAw acc= 64.0% |
| Epoch  73, time=  1.9s | Train: skip eval | Valid: time=  0.4s loss=1.121, TAw acc= 66.0% | lr=5.0e-02
| Epoch  74, time=  1.9s | Train: skip eval | Valid: time=  0.5s loss=5.824, TAw acc= 31.2% |
| Epoch  75, time=  2.0s | Train: skip eval | Valid: time=  0.6s loss=1.164, TAw acc= 60.8% |
| Epoch  76, time=  1.9s | Train: skip eval | Valid: time=  0.7s loss=1.215, TAw acc= 61.2% |
| Epoch  77, time=  1.7s | Train: skip eval | Valid: time=  0.5s loss=1.151, TAw acc= 61.0% |
| Epoch  78, time=  1.8s | Train: skip eval | Valid: time=  0.5s loss=1.183, TAw acc= 61.6% | lr=5.0e-02
| Epoch  79, time=  2.0s | Train: skip eval | Valid: time=  0.4s loss=1.050, TAw acc= 65.6% | *
| Epoch  80, time=  2.6s | Train: skip eval | Valid: time=  0.4s loss=1.134, TAw acc= 64.2% |
| Epoch  81, time=  1.9s | Train: skip eval | Valid: time=  0.4s loss=1.134, TAw acc= 60.0% |
| Epoch  82, time=  1.7s | Train: skip eval | Valid: time=  0.5s loss=1.142, TAw acc= 62.6% |
| Epoch  83, time=  1.8s | Train: skip eval | Valid: time=  0.6s loss=1.095, TAw acc= 66.0% |
| Epoch  84, time=  1.8s | Train: skip eval | Valid: time=  1.1s loss=1.190, TAw acc= 63.2% | lr=5.0e-02
| Epoch  85, time=  1.8s | Train: skip eval | Valid: time=  0.6s loss=1.151, TAw acc= 61.4% |
| Epoch  86, time=  1.8s | Train: skip eval | Valid: time=  0.5s loss=1.160, TAw acc= 62.8% |
| Epoch  87, time=  1.9s | Train: skip eval | Valid: time=  0.6s loss=1.134, TAw acc= 66.0% |
| Epoch  88, time=  2.1s | Train: skip eval | Valid: time=  0.6s loss=1.140, TAw acc= 64.0% |
| Epoch  89, time=  2.8s | Train: skip eval | Valid: time=  0.5s loss=1.257, TAw acc= 61.2% | lr=5.0e-02
| Epoch  90, time=  1.9s | Train: skip eval | Valid: time=  0.6s loss=1.099, TAw acc= 63.4% |
| Epoch  91, time=  2.0s | Train: skip eval | Valid: time=  0.5s loss=1.064, TAw acc= 64.6% |
| Epoch  92, time=  1.7s | Train: skip eval | Valid: time=  0.5s loss=1.262, TAw acc= 61.2% |
| Epoch  93, time=  1.8s | Train: skip eval | Valid: time=  0.6s loss=1.087, TAw acc= 64.2% |
| Epoch  94, time=  1.8s | Train: skip eval | Valid: time=  0.6s loss=1.105, TAw acc= 63.0% | lr=5.0e-02
| Epoch  95, time=  1.9s | Train: skip eval | Valid: time=  0.7s loss=1.134, TAw acc= 62.6% |
| Epoch  96, time=  1.9s | Train: skip eval | Valid: time=  0.8s loss=1.072, TAw acc= 67.2% |
| Epoch  97, time=  1.8s | Train: skip eval | Valid: time=  0.5s loss=1.061, TAw acc= 66.4% |
| Epoch  98, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=1.239, TAw acc= 57.4% |
| Epoch  99, time=  1.8s | Train: skip eval | Valid: time=  0.5s loss=1.117, TAw acc= 63.0% | lr=5.0e-02
| Epoch 100, time=  1.9s | Train: skip eval | Valid: time=  0.8s loss=1.007, TAw acc= 68.6% | *
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=1.065 | TAw acc= 65.4%, forg=  0.0%| TAg acc= 65.4%, forg=  0.0% <<<
Save at ../miniimagenet_path_integral_result10t/miniimagenet_path_integral
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time=  2.4s | Train: skip eval | Valid: time=  1.3s loss=1.811, TAw acc= 50.6% | *
| Epoch   2, time=  2.1s | Train: skip eval | Valid: time=  0.9s loss=1.273, TAw acc= 58.6% | *
| Epoch   3, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=1.228, TAw acc= 60.2% | *
| Epoch   4, time=  2.1s | Train: skip eval | Valid: time=  0.5s loss=1.316, TAw acc= 57.4% |
| Epoch   5, time=  2.2s | Train: skip eval | Valid: time=  0.9s loss=1.246, TAw acc= 58.6% |
| Epoch   6, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=1.219, TAw acc= 61.0% | *
| Epoch   7, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=1.172, TAw acc= 61.6% | *
| Epoch   8, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=1.173, TAw acc= 60.2% |
| Epoch   9, time=  2.1s | Train: skip eval | Valid: time=  1.0s loss=1.189, TAw acc= 63.0% |
| Epoch  10, time=  2.1s | Train: skip eval | Valid: time=  0.6s loss=1.255, TAw acc= 60.4% |
| Epoch  11, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=1.180, TAw acc= 63.8% |
| Epoch  12, time=  2.1s | Train: skip eval | Valid: time=  0.5s loss=1.214, TAw acc= 61.8% | lr=5.0e-02
| Epoch  13, time=  2.1s | Train: skip eval | Valid: time=  0.8s loss=1.129, TAw acc= 64.4% | *
| Epoch  14, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=1.176, TAw acc= 64.8% |
| Epoch  15, time=  2.1s | Train: skip eval | Valid: time=  0.6s loss=1.241, TAw acc= 58.8% |
| Epoch  16, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=1.172, TAw acc= 62.8% |
| Epoch  17, time=  2.4s | Train: skip eval | Valid: time=  0.9s loss=1.201, TAw acc= 61.2% |
| Epoch  18, time=  2.1s | Train: skip eval | Valid: time=  0.6s loss=1.229, TAw acc= 62.6% | lr=5.0e-02
| Epoch  19, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=1.158, TAw acc= 62.8% |
| Epoch  20, time=  2.1s | Train: skip eval | Valid: time=  0.6s loss=1.190, TAw acc= 62.4% |
| Epoch  21, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=1.195, TAw acc= 61.2% |
| Epoch  22, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=1.249, TAw acc= 60.0% |
| Epoch  23, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=1.257, TAw acc= 58.8% | lr=5.0e-02
| Epoch  24, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=1.201, TAw acc= 61.0% |
| Epoch  25, time=  2.1s | Train: skip eval | Valid: time=  0.7s loss=1.187, TAw acc= 61.0% |
| Epoch  26, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=1.263, TAw acc= 58.0% |
| Epoch  27, time=  2.2s | Train: skip eval | Valid: time=  0.8s loss=1.275, TAw acc= 61.2% |
| Epoch  28, time=  2.1s | Train: skip eval | Valid: time=  0.5s loss=1.389, TAw acc= 57.4% | lr=5.0e-02
| Epoch  29, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=1.204, TAw acc= 61.0% |
| Epoch  30, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=1.203, TAw acc= 61.0% |
| Epoch  31, time=  2.1s | Train: skip eval | Valid: time=  0.5s loss=1.174, TAw acc= 62.8% |
| Epoch  32, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=1.225, TAw acc= 61.4% |
| Epoch  33, time=  2.2s | Train: skip eval | Valid: time=  1.1s loss=1.195, TAw acc= 63.6% | lr=5.0e-02
| Epoch  34, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=1.173, TAw acc= 63.2% |
| Epoch  35, time=  2.1s | Train: skip eval | Valid: time=  0.5s loss=1.254, TAw acc= 58.2% |
| Epoch  36, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=1.329, TAw acc= 58.8% |
| Epoch  37, time=  2.1s | Train: skip eval | Valid: time=  1.4s loss=1.200, TAw acc= 62.2% |
| Epoch  38, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=1.355, TAw acc= 58.8% | lr=5.0e-02
| Epoch  39, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=1.262, TAw acc= 59.4% |
| Epoch  40, time=  2.1s | Train: skip eval | Valid: time=  0.6s loss=1.145, TAw acc= 62.4% |
| Epoch  41, time=  2.1s | Train: skip eval | Valid: time=  0.7s loss=1.230, TAw acc= 61.8% |
| Epoch  42, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=1.209, TAw acc= 62.0% |
| Epoch  43, time=  2.3s | Train: skip eval | Valid: time=  0.4s loss=1.230, TAw acc= 61.6% | lr=5.0e-02
| Epoch  44, time=  2.4s | Train: skip eval | Valid: time=  0.4s loss=1.343, TAw acc= 57.8% |
| Epoch  45, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=1.185, TAw acc= 62.4% |
| Epoch  46, time=  2.1s | Train: skip eval | Valid: time=  0.5s loss=1.230, TAw acc= 59.8% |
| Epoch  47, time=  2.1s | Train: skip eval | Valid: time=  0.6s loss=1.137, TAw acc= 66.2% |
| Epoch  48, time=  2.3s | Train: skip eval | Valid: time=  0.8s loss=1.139, TAw acc= 62.6% | lr=5.0e-02
| Epoch  49, time=  2.2s | Train: skip eval | Valid: time=  1.2s loss=1.261, TAw acc= 58.0% |
| Epoch  50, time=  2.1s | Train: skip eval | Valid: time=  0.6s loss=1.212, TAw acc= 63.0% |
| Epoch  51, time=  2.2s | Train: skip eval | Valid: time=  0.8s loss=1.126, TAw acc= 65.6% | *
| Epoch  52, time=  2.0s | Train: skip eval | Valid: time=  0.6s loss=1.213, TAw acc= 62.2% |
| Epoch  53, time=  2.1s | Train: skip eval | Valid: time=  0.7s loss=1.222, TAw acc= 61.6% |
| Epoch  54, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=1.146, TAw acc= 63.8% |
| Epoch  55, time=  2.1s | Train: skip eval | Valid: time=  0.5s loss=1.157, TAw acc= 63.6% |
| Epoch  56, time=  2.1s | Train: skip eval | Valid: time=  0.5s loss=1.248, TAw acc= 61.4% | lr=5.0e-02
| Epoch  57, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=1.186, TAw acc= 61.8% |
| Epoch  58, time=  2.2s | Train: skip eval | Valid: time=  0.7s loss=1.183, TAw acc= 61.6% |
| Epoch  59, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=1.185, TAw acc= 62.6% |
| Epoch  60, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=1.193, TAw acc= 62.2% |
| Epoch  61, time=  2.6s | Train: skip eval | Valid: time=  0.5s loss=1.288, TAw acc= 60.8% | lr=5.0e-02
| Epoch  62, time=  2.1s | Train: skip eval | Valid: time=  0.5s loss=1.201, TAw acc= 63.8% |
| Epoch  63, time=  2.0s | Train: skip eval | Valid: time=  0.7s loss=1.201, TAw acc= 60.2% |
| Epoch  64, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=1.194, TAw acc= 62.2% |
| Epoch  65, time=  2.1s | Train: skip eval | Valid: time=  0.8s loss=1.193, TAw acc= 63.8% |
| Epoch  66, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=1.287, TAw acc= 60.4% | lr=5.0e-02
| Epoch  67, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=1.189, TAw acc= 63.4% |
| Epoch  68, time=  2.3s | Train: skip eval | Valid: time=  0.4s loss=1.159, TAw acc= 64.8% |
| Epoch  69, time=  2.2s | Train: skip eval | Valid: time=  0.7s loss=1.114, TAw acc= 66.0% | *
| Epoch  70, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=1.356, TAw acc= 59.0% |
| Epoch  71, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=1.279, TAw acc= 61.8% |
| Epoch  72, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=1.166, TAw acc= 63.8% |
| Epoch  73, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=1.274, TAw acc= 60.0% |
| Epoch  74, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=1.335, TAw acc= 58.6% | lr=5.0e-02
| Epoch  75, time=  2.2s | Train: skip eval | Valid: time=  0.7s loss=1.171, TAw acc= 64.4% |
| Epoch  76, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=1.219, TAw acc= 64.0% |
| Epoch  77, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=1.244, TAw acc= 58.2% |
| Epoch  78, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=1.320, TAw acc= 59.0% |
| Epoch  79, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=1.292, TAw acc= 60.6% | lr=5.0e-02
| Epoch  80, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=1.233, TAw acc= 63.2% |
| Epoch  81, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=1.135, TAw acc= 65.0% |
| Epoch  82, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=1.332, TAw acc= 59.8% |
| Epoch  83, time=  1.9s | Train: skip eval | Valid: time=  0.5s loss=1.246, TAw acc= 63.8% |
| Epoch  84, time=  2.2s | Train: skip eval | Valid: time=  0.8s loss=1.285, TAw acc= 60.6% | lr=5.0e-02
| Epoch  85, time=  2.6s | Train: skip eval | Valid: time=  1.0s loss=1.188, TAw acc= 62.8% |
| Epoch  86, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=1.253, TAw acc= 60.4% |
| Epoch  87, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=1.180, TAw acc= 62.0% |
| Epoch  88, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=1.284, TAw acc= 60.2% |
| Epoch  89, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=1.244, TAw acc= 61.0% | lr=5.0e-02
| Epoch  90, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=1.259, TAw acc= 59.2% |
| Epoch  91, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=1.229, TAw acc= 64.8% |
| Epoch  92, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=1.187, TAw acc= 65.6% |
| Epoch  93, time=  2.1s | Train: skip eval | Valid: time=  0.6s loss=1.290, TAw acc= 59.8% |
| Epoch  94, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=1.196, TAw acc= 65.8% | lr=5.0e-02
| Epoch  95, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=1.316, TAw acc= 59.2% |
| Epoch  96, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=1.244, TAw acc= 61.6% |
| Epoch  97, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=1.199, TAw acc= 63.0% |
| Epoch  98, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=1.142, TAw acc= 63.4% |
| Epoch  99, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=1.208, TAw acc= 62.0% | lr=5.0e-02
| Epoch 100, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=1.176, TAw acc= 62.8% |
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=1.451 | TAw acc= 50.6%, forg= 14.8%| TAg acc= 32.2%, forg= 33.2% <<<
>>> Test on task  1 : loss=1.027 | TAw acc= 66.9%, forg=  0.0%| TAg acc= 49.7%, forg=  0.0% <<<
Save at ../miniimagenet_path_integral_result10t/miniimagenet_path_integral
************************************************************************************************************
Task  2
************************************************************************************************************
| Epoch   1, time=  2.8s | Train: skip eval | Valid: time=  0.8s loss=1.517, TAw acc= 51.4% | *
| Epoch   2, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=1.474, TAw acc= 51.8% | *
| Epoch   3, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=1.306, TAw acc= 57.2% | *
| Epoch   4, time=  2.2s | Train: skip eval | Valid: time=  1.0s loss=1.301, TAw acc= 55.8% | *
| Epoch   5, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=1.378, TAw acc= 55.2% |
| Epoch   6, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=1.240, TAw acc= 58.6% | *
| Epoch   7, time=  2.3s | Train: skip eval | Valid: time=  0.4s loss=1.225, TAw acc= 58.6% | *
| Epoch   8, time=  2.3s | Train: skip eval | Valid: time=  1.3s loss=1.201, TAw acc= 61.2% | *
| Epoch   9, time=  2.5s | Train: skip eval | Valid: time=  0.5s loss=1.248, TAw acc= 59.4% |
| Epoch  10, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=1.231, TAw acc= 61.4% |
| Epoch  11, time=  2.5s | Train: skip eval | Valid: time=  0.4s loss=1.429, TAw acc= 56.0% |
| Epoch  12, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=1.369, TAw acc= 58.2% |
| Epoch  13, time=  2.1s | Train: skip eval | Valid: time=  0.6s loss=1.294, TAw acc= 60.0% | lr=5.0e-02
| Epoch  14, time=  2.1s | Train: skip eval | Valid: time=  0.5s loss=1.201, TAw acc= 60.2% |
| Epoch  15, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=1.801, TAw acc= 56.4% |
| Epoch  16, time=  2.2s | Train: skip eval | Valid: time=  0.9s loss=1.211, TAw acc= 59.8% |
| Epoch  17, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=1.338, TAw acc= 58.4% |
| Epoch  18, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=1.237, TAw acc= 59.2% | lr=5.0e-02
| Epoch  19, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=1.251, TAw acc= 60.2% |
