============================================================================================================
Arguments =
	approach: bic
	batch_size: 100
	clipping: 10000
	datasets: ['mnist']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 3
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 2
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 5
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../mnist_bic_result5t
	save_models: False
	seed: 12
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	T: 2
	lamb: -1
	num_bias_epochs: 200
	val_exemplar_percentage: 0.1
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 500
============================================================================================================
WARNING: ../mnist_bic_result5t/mnist_bic already exists!
[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 100 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time=  4.4s | Train: skip eval | Valid: time=  0.7s loss=0.040, TAw acc= 98.2% | *
| Epoch  21, time=  2.2s | Train: skip eval | Valid: time=  0.7s loss=0.014, TAw acc= 99.4% |
| Epoch  22, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.015, TAw acc= 99.4% |
| Epoch  23, time=  2.2s | Train: skip eval | Valid: time=  0.8s loss=0.014, TAw acc= 99.6% |
| Epoch  24, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.015, TAw acc= 99.6% | lr=5.0e-02
| Epoch  25, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.017, TAw acc= 99.7% |
| Epoch  26, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.017, TAw acc= 99.5% |
| Epoch  27, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=0.026, TAw acc= 99.3% |
| Epoch  28, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.017, TAw acc= 99.4% |
| Epoch  29, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.013, TAw acc= 99.7% | lr=5.0e-02
| Epoch  30, time=  2.4s | Train: skip eval | Valid: time=  0.8s loss=0.020, TAw acc= 99.5% |
| Epoch  31, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.015, TAw acc= 99.4% |
| Epoch  32, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.017, TAw acc= 99.4% |
| Epoch  33, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.014, TAw acc= 99.6% |
| Epoch  34, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.018, TAw acc= 99.6% | lr=5.0e-02
| Epoch  35, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.018, TAw acc= 99.6% |
| Epoch  36, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.031, TAw acc= 99.1% |
| Epoch  37, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.011, TAw acc= 99.6% |
| Epoch  38, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=0.012, TAw acc= 99.6% |
| Epoch  39, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.014, TAw acc= 99.6% | lr=5.0e-02
| Epoch  40, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.023, TAw acc= 99.6% |
| Epoch  41, time=  2.3s | Train: skip eval | Valid: time=  1.1s loss=0.020, TAw acc= 99.5% |
| Epoch  42, time=  2.5s | Train: skip eval | Valid: time=  0.5s loss=0.024, TAw acc= 99.2% |
| Epoch  43, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=0.016, TAw acc= 99.5% |
| Epoch  44, time=  2.4s | Train: skip eval | Valid: time=  0.8s loss=0.013, TAw acc= 99.6% | lr=5.0e-02
| Epoch  45, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.019, TAw acc= 99.6% |
| Epoch  46, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.014, TAw acc= 99.6% |
| Epoch  47, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=0.017, TAw acc= 99.6% |
| Epoch  48, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.017, TAw acc= 99.6% |
| Epoch  49, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=0.011, TAw acc= 99.6% | lr=5.0e-02
| Epoch  50, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.025, TAw acc= 99.2% |
| Epoch  51, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.007, TAw acc= 99.7% | *
| Epoch  52, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.022, TAw acc= 99.2% |
| Epoch  53, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.006, TAw acc= 99.8% | *
| Epoch  54, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.012, TAw acc= 99.6% |
| Epoch  55, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.017, TAw acc= 99.6% |
| Epoch  56, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.014, TAw acc= 99.6% |
| Epoch  57, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.013, TAw acc= 99.7% |
| Epoch  58, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.013, TAw acc= 99.7% | lr=5.0e-02
| Epoch  59, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.011, TAw acc= 99.6% |
| Epoch  60, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.013, TAw acc= 99.6% |
| Epoch  61, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=0.013, TAw acc= 99.6% |
| Epoch  62, time=  2.2s | Train: skip eval | Valid: time=  0.7s loss=0.014, TAw acc= 99.4% |
| Epoch  63, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.013, TAw acc= 99.6% | lr=5.0e-02
| Epoch  64, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.011, TAw acc= 99.6% |
| Epoch  65, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.010, TAw acc= 99.5% |
| Epoch  66, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.010, TAw acc= 99.4% |
| Epoch  67, time=  2.2s | Train: skip eval | Valid: time=  0.7s loss=0.011, TAw acc= 99.6% |
| Epoch  68, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.013, TAw acc= 99.6% | lr=5.0e-02
| Epoch  69, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.011, TAw acc= 99.7% |
| Epoch  70, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.012, TAw acc= 99.6% |
| Epoch  71, time=  2.4s | Train: skip eval | Valid: time=  0.8s loss=0.014, TAw acc= 99.5% |
| Epoch  72, time=  2.3s | Train: skip eval | Valid: time=  0.8s loss=0.014, TAw acc= 99.6% |
| Epoch  73, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.015, TAw acc= 99.6% | lr=5.0e-02
| Epoch  74, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.011, TAw acc= 99.6% |
| Epoch  75, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=0.013, TAw acc= 99.6% |
| Epoch  76, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.017, TAw acc= 99.3% |
| Epoch  77, time=  2.3s | Train: skip eval | Valid: time=  0.8s loss=0.016, TAw acc= 99.3% |
| Epoch  78, time=  2.4s | Train: skip eval | Valid: time=  0.9s loss=0.014, TAw acc= 99.7% | lr=5.0e-02
| Epoch  79, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=0.015, TAw acc= 99.5% |
| Epoch  80, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.013, TAw acc= 99.6% |
| Epoch  81, time=  2.4s | Train: skip eval | Valid: time=  0.8s loss=0.022, TAw acc= 99.4% |
| Epoch  82, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.012, TAw acc= 99.6% |
| Epoch  83, time=  2.5s | Train: skip eval | Valid: time=  0.5s loss=0.018, TAw acc= 99.4% | lr=5.0e-02
| Epoch  84, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.012, TAw acc= 99.5% |
| Epoch  85, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=0.011, TAw acc= 99.6% |
| Epoch  86, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=0.013, TAw acc= 99.5% |
| Epoch  87, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.014, TAw acc= 99.4% |
| Epoch  88, time=  2.5s | Train: skip eval | Valid: time=  0.5s loss=0.014, TAw acc= 99.4% | lr=5.0e-02
| Epoch  89, time=  2.4s | Train: skip eval | Valid: time=  0.8s loss=0.010, TAw acc= 99.7% |
| Epoch  90, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.010, TAw acc= 99.7% |
| Epoch  91, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.016, TAw acc= 99.6% |
| Epoch  92, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.014, TAw acc= 99.6% |
| Epoch  93, time=  2.2s | Train: skip eval | Valid: time=  0.7s loss=0.016, TAw acc= 99.6% | lr=5.0e-02
| Epoch  94, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.010, TAw acc= 99.8% |
| Epoch  95, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.015, TAw acc= 99.6% |
| Epoch  96, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.045, TAw acc= 98.9% |
| Epoch  97, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.019, TAw acc= 99.5% |
| Epoch  98, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.021, TAw acc= 99.6% | lr=5.0e-02
| Epoch  99, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.014, TAw acc= 99.6% |
| Epoch 100, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.013, TAw acc= 99.6% |
Stage 2: BiC training for Task 0: alpha=1.00000, beta=0.00000
| Selected 900 train exemplars, time=  0.0s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.007 | TAw acc= 99.8%, forg=  0.0%| TAg acc= 99.8%, forg=  0.0% <<<
Save at ../mnist_bic_result5t/mnist_bic
************************************************************************************************************
Task  1
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 200 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% |
| Epoch   2, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% |
| Epoch   3, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch   4, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch   5, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch   6, time=  3.4s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 51.4% |
| Epoch   7, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% |
| Epoch   8, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% |
| Epoch   9, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  10, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch  11, time=  3.2s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 51.4% |
| Epoch  12, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  13, time=  3.2s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 51.4% |
| Epoch  14, time=  3.5s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% |
| Epoch  15, time=  3.7s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch  16, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  17, time=  3.1s | Train: skip eval | Valid: time=  0.9s loss=nan, TAw acc= 51.4% |
| Epoch  18, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 51.4% |
| Epoch  19, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  20, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch  21, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  22, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% |
| Epoch  23, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  24, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% |
| Epoch  25, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch  26, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  27, time=  3.2s | Train: skip eval | Valid: time=  0.9s loss=nan, TAw acc= 51.4% |
| Epoch  28, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  29, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  30, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch  31, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  32, time=  3.6s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  33, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  34, time=  3.2s | Train: skip eval | Valid: time=  1.0s loss=nan, TAw acc= 51.4% |
| Epoch  35, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch  36, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 51.4% |
| Epoch  37, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  38, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  39, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  40, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch  41, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  42, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 51.4% |
| Epoch  43, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% |
| Epoch  44, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% |
| Epoch  45, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch  46, time=  4.1s | Train: skip eval | Valid: time=  0.9s loss=nan, TAw acc= 51.4% |
| Epoch  47, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  48, time=  3.1s | Train: skip eval | Valid: time=  0.9s loss=nan, TAw acc= 51.4% |
| Epoch  49, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  50, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch  51, time=  3.2s | Train: skip eval | Valid: time=  0.9s loss=nan, TAw acc= 51.4% |
| Epoch  52, time=  3.6s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  53, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% |
| Epoch  54, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  55, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch  56, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  57, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% |
| Epoch  58, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  59, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  60, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch  61, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  62, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% |
| Epoch  63, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% |
| Epoch  64, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  65, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch  66, time=  3.8s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  67, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  68, time=  3.5s | Train: skip eval | Valid: time=  1.0s loss=nan, TAw acc= 51.4% |
| Epoch  69, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  70, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch  71, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  72, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  73, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% |
| Epoch  74, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  75, time=  3.5s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch  76, time=  3.2s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 51.4% |
| Epoch  77, time=  4.0s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% |
| Epoch  78, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  79, time=  3.2s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 51.4% |
| Epoch  80, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch  81, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 51.4% |
| Epoch  82, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  83, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  84, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  85, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch  86, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  87, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  88, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% |
| Epoch  89, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 51.4% |
| Epoch  90, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch  91, time=  3.9s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 51.4% |
| Epoch  92, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 51.4% |
| Epoch  93, time=  3.4s | Train: skip eval | Valid: time=  1.0s loss=nan, TAw acc= 51.4% |
| Epoch  94, time=  3.4s | Train: skip eval | Valid: time=  0.9s loss=nan, TAw acc= 51.4% |
| Epoch  95, time=  3.4s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 51.4% | lr=5.0e-02
| Epoch  96, time=  3.5s | Train: skip eval | Valid: time=  1.0s loss=nan, TAw acc= 51.4% |
| Epoch  97, time=  3.5s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 51.4% |
| Epoch  98, time=  3.6s | Train: skip eval | Valid: time=  1.5s loss=nan, TAw acc= 51.4% |
| Epoch  99, time=  3.4s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 51.4% |
| Epoch 100, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 51.4% | lr=5.0e-02
Stage 2: Training bias correction layers
| Epoch  50, time=  0.6s | Train: loss=1.910, TAg acc= 62.0% |
| Epoch 100, time=  0.4s | Train: loss=1.902, TAg acc= 54.0% |
| Epoch 150, time=  0.4s | Train: loss=1.897, TAg acc= 54.5% |
| Epoch 200, time=  0.3s | Train: loss=1.893, TAg acc= 54.5% |
Stage 2: BiC training for Task 0: alpha=1.00000, beta=0.00000
Stage 2: BiC training for Task 1: alpha=-1.09546, beta=2.61912
| Selected 1800 train exemplars, time=  0.0s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.051 | TAw acc= 99.8%, forg=  0.0%| TAg acc= 99.0%, forg=  0.8% <<<
>>> Test on task  1 : loss=2.102 | TAw acc= 55.0%, forg=  0.0%| TAg acc= 11.3%, forg=  0.0% <<<
Save at ../mnist_bic_result5t/mnist_bic
************************************************************************************************************
Task  2
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 300 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time=  3.7s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 49.5% |
| Epoch   2, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 49.5% |
| Epoch   3, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 49.5% |
| Epoch   4, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 49.5% |
| Epoch   5, time=  3.8s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 49.5% | lr=5.0e-02
| Epoch   6, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 49.5% |
| Epoch   7, time=  3.8s | Train: skip eval | Valid: time=  0.9s loss=nan, TAw acc= 49.5% |
| Epoch   8, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 49.5% |
| Epoch   9, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 49.5% |
| Epoch  10, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 49.5% | lr=5.0e-02
| Epoch  11, time=  3.5s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 49.5% |
| Epoch  12, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 49.5% |
