============================================================================================================
Arguments =
	approach: bic
	batch_size: 100
	clipping: 10000
	datasets: ['mnist']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 4
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 2
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 5
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../mnist_bic_result5t
	save_models: False
	seed: 123
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	T: 2
	lamb: -1
	num_bias_epochs: 200
	val_exemplar_percentage: 0.1
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 500
============================================================================================================
WARNING: ../mnist_bic_result5t/mnist_bic already exists!
[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 100 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time=  5.0s | Train: skip eval | Valid: time=  0.4s loss=0.005, TAw acc= 99.8% | *
| Epoch  22, time=  2.1s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.9% | lr=5.0e-02
| Epoch  23, time=  2.7s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.9% |
| Epoch  24, time=  2.1s | Train: skip eval | Valid: time=  0.5s loss=0.005, TAw acc= 99.9% |
| Epoch  25, time=  2.1s | Train: skip eval | Valid: time=  0.5s loss=0.005, TAw acc= 99.9% |
| Epoch  26, time=  2.3s | Train: skip eval | Valid: time=  0.4s loss=0.005, TAw acc= 99.8% |
| Epoch  27, time=  3.0s | Train: skip eval | Valid: time=  0.5s loss=0.005, TAw acc= 99.9% | lr=5.0e-02
| Epoch  28, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.006, TAw acc= 99.9% |
| Epoch  29, time=  2.1s | Train: skip eval | Valid: time=  0.5s loss=0.005, TAw acc= 99.9% |
| Epoch  30, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.005, TAw acc= 99.8% |
| Epoch  31, time=  2.8s | Train: skip eval | Valid: time=  0.5s loss=0.005, TAw acc= 99.8% |
| Epoch  32, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.005, TAw acc= 99.8% | lr=5.0e-02
| Epoch  33, time=  2.1s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.9% |
| Epoch  34, time=  2.2s | Train: skip eval | Valid: time=  1.3s loss=0.004, TAw acc= 99.9% |
| Epoch  35, time=  2.1s | Train: skip eval | Valid: time=  0.4s loss=0.004, TAw acc= 99.9% |
| Epoch  36, time=  2.1s | Train: skip eval | Valid: time=  0.4s loss=0.004, TAw acc= 99.9% |
| Epoch  37, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=0.004, TAw acc= 99.9% | lr=5.0e-02
| Epoch  38, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.006, TAw acc= 99.8% |
| Epoch  39, time=  2.7s | Train: skip eval | Valid: time=  0.5s loss=0.006, TAw acc= 99.9% |
| Epoch  40, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.005, TAw acc= 99.8% |
| Epoch  41, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.006, TAw acc= 99.8% |
| Epoch  42, time=  2.1s | Train: skip eval | Valid: time=  0.4s loss=0.005, TAw acc= 99.9% | lr=5.0e-02
| Epoch  43, time=  3.1s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.9% |
| Epoch  44, time=  2.1s | Train: skip eval | Valid: time=  0.4s loss=0.004, TAw acc= 99.9% |
| Epoch  45, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.9% |
| Epoch  46, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=0.005, TAw acc= 99.9% |
| Epoch  47, time=  2.5s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.9% | lr=5.0e-02
| Epoch  48, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.005, TAw acc= 99.8% |
| Epoch  49, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.9% |
| Epoch  50, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.003, TAw acc= 99.8% |
| Epoch  51, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.003, TAw acc= 99.8% |
| Epoch  52, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=0.004, TAw acc= 99.8% | lr=5.0e-02
| Epoch  53, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=0.006, TAw acc= 99.8% |
| Epoch  54, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.006, TAw acc= 99.8% |
| Epoch  55, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.006, TAw acc= 99.8% |
| Epoch  56, time=  2.1s | Train: skip eval | Valid: time=  0.5s loss=0.006, TAw acc= 99.8% |
| Epoch  57, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=0.006, TAw acc= 99.8% | lr=5.0e-02
| Epoch  58, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.003, TAw acc= 99.9% |
| Epoch  59, time=  2.4s | Train: skip eval | Valid: time=  0.8s loss=0.003, TAw acc= 99.8% |
| Epoch  60, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.9% |
| Epoch  61, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.005, TAw acc= 99.8% |
| Epoch  62, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.006, TAw acc= 99.8% | lr=5.0e-02
| Epoch  63, time=  2.3s | Train: skip eval | Valid: time=  0.4s loss=0.003, TAw acc= 99.9% |
| Epoch  64, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.003, TAw acc= 99.9% |
| Epoch  65, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.9% |
| Epoch  66, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.8% |
| Epoch  67, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.9% | lr=5.0e-02
| Epoch  68, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=0.002, TAw acc= 99.9% |
| Epoch  69, time=  2.1s | Train: skip eval | Valid: time=  0.7s loss=0.003, TAw acc= 99.8% |
| Epoch  70, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.003, TAw acc= 99.8% |
| Epoch  71, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.003, TAw acc= 99.8% |
| Epoch  72, time=  2.1s | Train: skip eval | Valid: time=  0.5s loss=0.003, TAw acc= 99.9% | lr=5.0e-02
| Epoch  73, time=  2.3s | Train: skip eval | Valid: time=  0.4s loss=0.003, TAw acc= 99.9% |
| Epoch  74, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.9% |
| Epoch  75, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=0.003, TAw acc= 99.9% |
| Epoch  76, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.003, TAw acc= 99.9% |
| Epoch  77, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.003, TAw acc= 99.9% | lr=5.0e-02
| Epoch  78, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.005, TAw acc= 99.9% |
| Epoch  79, time=  2.2s | Train: skip eval | Valid: time=  0.7s loss=0.006, TAw acc= 99.8% |
| Epoch  80, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=0.006, TAw acc= 99.8% |
| Epoch  81, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.006, TAw acc= 99.8% |
| Epoch  82, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=0.006, TAw acc= 99.9% | lr=5.0e-02
| Epoch  83, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.9% |
| Epoch  84, time=  2.1s | Train: skip eval | Valid: time=  0.5s loss=0.005, TAw acc= 99.9% |
| Epoch  85, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.9% |
| Epoch  86, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.9% |
| Epoch  87, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.9% | lr=5.0e-02
| Epoch  88, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.005, TAw acc= 99.8% |
| Epoch  89, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.8% |
| Epoch  90, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.8% |
| Epoch  91, time=  2.2s | Train: skip eval | Valid: time=  0.4s loss=0.005, TAw acc= 99.8% |
| Epoch  92, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.005, TAw acc= 99.8% | lr=5.0e-02
| Epoch  93, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.003, TAw acc= 99.9% |
| Epoch  94, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.9% |
| Epoch  95, time=  2.1s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.9% |
| Epoch  96, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.9% |
| Epoch  97, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.9% | lr=5.0e-02
| Epoch  98, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.8% |
| Epoch  99, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.8% |
| Epoch 100, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.005, TAw acc= 99.8% |
Stage 2: BiC training for Task 0: alpha=1.00000, beta=0.00000
| Selected 900 train exemplars, time=  0.0s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.000 | TAw acc=100.0%, forg=  0.0%| TAg acc=100.0%, forg=  0.0% <<<
Save at ../mnist_bic_result5t/mnist_bic
************************************************************************************************************
Task  1
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 200 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch   2, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 53.6% |
| Epoch   3, time=  3.0s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch   4, time=  3.0s | Train: skip eval | Valid: time=  0.4s loss=nan, TAw acc= 53.6% |
| Epoch   5, time=  3.1s | Train: skip eval | Valid: time=  1.2s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch   6, time=  3.1s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch   7, time=  2.9s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch   8, time=  2.9s | Train: skip eval | Valid: time=  1.4s loss=nan, TAw acc= 53.6% |
| Epoch   9, time=  2.9s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  10, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  11, time=  3.1s | Train: skip eval | Valid: time=  1.0s loss=nan, TAw acc= 53.6% |
| Epoch  12, time=  3.1s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  13, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  14, time=  2.9s | Train: skip eval | Valid: time=  1.1s loss=nan, TAw acc= 53.6% |
| Epoch  15, time=  3.0s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  16, time=  2.9s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  17, time=  3.1s | Train: skip eval | Valid: time=  1.0s loss=nan, TAw acc= 53.6% |
| Epoch  18, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  19, time=  3.0s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  20, time=  3.0s | Train: skip eval | Valid: time=  1.2s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  21, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  22, time=  3.0s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  23, time=  2.9s | Train: skip eval | Valid: time=  1.3s loss=nan, TAw acc= 53.6% |
| Epoch  24, time=  3.3s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  25, time=  3.1s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  26, time=  2.9s | Train: skip eval | Valid: time=  1.4s loss=nan, TAw acc= 53.6% |
| Epoch  27, time=  3.0s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 53.6% |
| Epoch  28, time=  3.0s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  29, time=  4.0s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  30, time=  3.0s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  31, time=  3.1s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  32, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  33, time=  2.9s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  34, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  35, time=  3.2s | Train: skip eval | Valid: time=  1.0s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  36, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  37, time=  2.9s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  38, time=  3.3s | Train: skip eval | Valid: time=  1.1s loss=nan, TAw acc= 53.6% |
| Epoch  39, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  40, time=  2.9s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  41, time=  3.1s | Train: skip eval | Valid: time=  1.0s loss=nan, TAw acc= 53.6% |
| Epoch  42, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  43, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  44, time=  2.9s | Train: skip eval | Valid: time=  1.6s loss=nan, TAw acc= 53.6% |
| Epoch  45, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  46, time=  3.1s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  47, time=  3.0s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 53.6% |
| Epoch  48, time=  3.0s | Train: skip eval | Valid: time=  0.4s loss=nan, TAw acc= 53.6% |
| Epoch  49, time=  3.0s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 53.6% |
| Epoch  50, time=  3.0s | Train: skip eval | Valid: time=  1.2s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  51, time=  3.1s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  52, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 53.6% |
| Epoch  53, time=  3.2s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 53.6% |
| Epoch  54, time=  2.9s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  55, time=  3.0s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  56, time=  3.1s | Train: skip eval | Valid: time=  1.2s loss=nan, TAw acc= 53.6% |
| Epoch  57, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  58, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  59, time=  3.0s | Train: skip eval | Valid: time=  1.1s loss=nan, TAw acc= 53.6% |
| Epoch  60, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  61, time=  2.9s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  62, time=  3.1s | Train: skip eval | Valid: time=  1.2s loss=nan, TAw acc= 53.6% |
| Epoch  63, time=  2.8s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 53.6% |
| Epoch  64, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  65, time=  3.3s | Train: skip eval | Valid: time=  1.1s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  66, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  67, time=  3.0s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  68, time=  2.9s | Train: skip eval | Valid: time=  0.9s loss=nan, TAw acc= 53.6% |
| Epoch  69, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  70, time=  3.0s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  71, time=  3.1s | Train: skip eval | Valid: time=  1.2s loss=nan, TAw acc= 53.6% |
| Epoch  72, time=  2.9s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  73, time=  2.9s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  74, time=  3.0s | Train: skip eval | Valid: time=  1.4s loss=nan, TAw acc= 53.6% |
| Epoch  75, time=  3.0s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  76, time=  2.9s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  77, time=  3.1s | Train: skip eval | Valid: time=  1.3s loss=nan, TAw acc= 53.6% |
| Epoch  78, time=  2.9s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  79, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  80, time=  2.8s | Train: skip eval | Valid: time=  1.8s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  81, time=  3.0s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  82, time=  3.0s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  83, time=  3.0s | Train: skip eval | Valid: time=  1.0s loss=nan, TAw acc= 53.6% |
| Epoch  84, time=  3.1s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  85, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  86, time=  3.9s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 53.6% |
| Epoch  87, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  88, time=  3.2s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  89, time=  2.9s | Train: skip eval | Valid: time=  1.1s loss=nan, TAw acc= 53.6% |
| Epoch  90, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  91, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  92, time=  3.0s | Train: skip eval | Valid: time=  1.1s loss=nan, TAw acc= 53.6% |
| Epoch  93, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 53.6% |
| Epoch  94, time=  3.1s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  95, time=  3.0s | Train: skip eval | Valid: time=  0.9s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  96, time=  2.9s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% |
| Epoch  97, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  98, time=  3.1s | Train: skip eval | Valid: time=  1.3s loss=nan, TAw acc= 53.6% |
| Epoch  99, time=  2.9s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch 100, time=  3.0s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 53.6% | lr=5.0e-02
Stage 2: Training bias correction layers
| Epoch  50, time=  0.4s | Train: loss=1.469, TAg acc= 61.5% |
| Epoch 100, time=  0.3s | Train: loss=1.435, TAg acc= 62.0% |
| Epoch 150, time=  0.3s | Train: loss=1.414, TAg acc= 62.5% |
| Epoch 200, time=  0.3s | Train: loss=1.400, TAg acc= 63.5% |
Stage 2: BiC training for Task 0: alpha=1.00000, beta=0.00000
Stage 2: BiC training for Task 1: alpha=5.82873, beta=1.64386
| Selected 1800 train exemplars, time=  0.0s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.041 | TAw acc=100.0%, forg=  0.0%| TAg acc= 99.1%, forg=  0.9% <<<
>>> Test on task  1 : loss=1.297 | TAw acc= 46.2%, forg=  0.0%| TAg acc= 26.4%, forg=  0.0% <<<
Save at ../mnist_bic_result5t/mnist_bic
************************************************************************************************************
Task  2
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 300 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time=  3.3s | Train: skip eval | Valid: time=  1.2s loss=nan, TAw acc= 48.8% |
| Epoch   2, time=  3.6s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 48.8% |
| Epoch   3, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 48.8% |
| Epoch   4, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 48.8% |
| Epoch   5, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 48.8% | lr=5.0e-02
| Epoch   6, time=  3.2s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 48.8% |
| Epoch   7, time=  3.3s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 48.8% |
| Epoch   8, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 48.8% |
| Epoch   9, time=  3.2s | Train: skip eval | Valid: time=  0.5s loss=nan, TAw acc= 48.8% |
| Epoch  10, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 48.8% | lr=5.0e-02
| Epoch  11, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 48.8% |
| Epoch  12, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 48.8% |
