============================================================================================================
Arguments =
	approach: mas
	batch_size: 100
	clipping: 10000
	datasets: ['mnist']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 3
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 2
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 5
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../mnist_mas_result5t
	save_models: False
	seed: 1
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	alpha: 0.5
	fi_num_samples: -1
	lamb: 1
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 0
============================================================================================================
WARNING: ../mnist_mas_result5t/mnist_mas already exists!
[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  6.4s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.8% | *
| Epoch  19, time=  2.6s | Train: skip eval | Valid: time=  0.5s loss=0.003, TAw acc= 99.9% |
| Epoch  20, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.9% |
| Epoch  21, time=  2.4s | Train: skip eval | Valid: time=  1.3s loss=0.004, TAw acc= 99.8% |
| Epoch  22, time=  2.4s | Train: skip eval | Valid: time=  0.8s loss=0.003, TAw acc= 99.9% |
| Epoch  23, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.005, TAw acc= 99.8% | lr=5.0e-02
| Epoch  24, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.8% |
| Epoch  25, time=  2.5s | Train: skip eval | Valid: time=  0.8s loss=0.003, TAw acc= 99.9% |
| Epoch  26, time=  2.9s | Train: skip eval | Valid: time=  0.6s loss=0.003, TAw acc= 99.9% |
| Epoch  27, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.004, TAw acc= 99.9% |
| Epoch  28, time=  2.5s | Train: skip eval | Valid: time=  1.5s loss=0.005, TAw acc= 99.8% | lr=5.0e-02
| Epoch  29, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.008, TAw acc= 99.8% |
| Epoch  30, time=  2.4s | Train: skip eval | Valid: time=  0.8s loss=0.003, TAw acc= 99.8% |
| Epoch  31, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.004, TAw acc= 99.9% |
| Epoch  32, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.9% |
| Epoch  33, time=  2.8s | Train: skip eval | Valid: time=  0.7s loss=0.001, TAw acc= 99.9% | *
| Epoch  34, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.005, TAw acc= 99.9% |
| Epoch  35, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.005, TAw acc= 99.9% |
| Epoch  36, time=  2.4s | Train: skip eval | Valid: time=  0.9s loss=0.005, TAw acc= 99.9% |
| Epoch  37, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.9% |
| Epoch  38, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.005, TAw acc= 99.9% | lr=5.0e-02
| Epoch  39, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.9% |
| Epoch  40, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc= 99.9% |
| Epoch  41, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.001, TAw acc= 99.9% | *
| Epoch  42, time=  2.6s | Train: skip eval | Valid: time=  0.7s loss=0.002, TAw acc= 99.9% |
| Epoch  43, time=  2.6s | Train: skip eval | Valid: time=  0.8s loss=0.002, TAw acc= 99.9% |
| Epoch  44, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.003, TAw acc= 99.9% |
| Epoch  45, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.002, TAw acc= 99.9% |
| Epoch  46, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.003, TAw acc= 99.9% | lr=5.0e-02
| Epoch  47, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.9% |
| Epoch  48, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.003, TAw acc= 99.9% |
| Epoch  49, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.003, TAw acc= 99.9% |
| Epoch  50, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.003, TAw acc= 99.9% |
| Epoch  51, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=0.003, TAw acc= 99.9% | lr=5.0e-02
| Epoch  52, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.002, TAw acc= 99.9% |
| Epoch  53, time=  2.8s | Train: skip eval | Valid: time=  0.5s loss=0.003, TAw acc= 99.9% |
| Epoch  54, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=0.002, TAw acc= 99.9% |
| Epoch  55, time=  2.4s | Train: skip eval | Valid: time=  0.9s loss=0.002, TAw acc= 99.9% |
| Epoch  56, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.9% | lr=5.0e-02
| Epoch  57, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.9% |
| Epoch  58, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.003, TAw acc= 99.9% |
| Epoch  59, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.003, TAw acc= 99.9% |
| Epoch  60, time=  2.9s | Train: skip eval | Valid: time=  0.7s loss=0.003, TAw acc= 99.9% |
| Epoch  61, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.9% | lr=5.0e-02
| Epoch  62, time=  2.5s | Train: skip eval | Valid: time=  0.8s loss=0.001, TAw acc= 99.9% | *
| Epoch  63, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.9% |
| Epoch  64, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=0.002, TAw acc= 99.9% |
| Epoch  65, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc= 99.9% | *
| Epoch  66, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.9% |
| Epoch  67, time=  3.2s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.9% |
| Epoch  68, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.003, TAw acc= 99.9% |
| Epoch  69, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.9% |
| Epoch  70, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.003, TAw acc= 99.9% | lr=5.0e-02
| Epoch  71, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.9% |
| Epoch  72, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.003, TAw acc= 99.9% |
| Epoch  73, time=  2.5s | Train: skip eval | Valid: time=  0.8s loss=0.002, TAw acc= 99.9% |
| Epoch  74, time=  2.5s | Train: skip eval | Valid: time=  0.8s loss=0.002, TAw acc= 99.9% |
| Epoch  75, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc= 99.9% | lr=5.0e-02
| Epoch  76, time=  2.6s | Train: skip eval | Valid: time=  0.7s loss=0.002, TAw acc= 99.9% |
| Epoch  77, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.002, TAw acc= 99.9% |
| Epoch  78, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=0.003, TAw acc= 99.9% |
| Epoch  79, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.002, TAw acc= 99.9% |
| Epoch  80, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.9% | lr=5.0e-02
| Epoch  81, time=  3.2s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.9% |
| Epoch  82, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.9% |
| Epoch  83, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.9% |
| Epoch  84, time=  2.3s | Train: skip eval | Valid: time=  0.8s loss=0.002, TAw acc= 99.9% |
| Epoch  85, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.9% | lr=5.0e-02
| Epoch  86, time=  2.5s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.9% |
| Epoch  87, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.003, TAw acc= 99.9% |
| Epoch  88, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.004, TAw acc= 99.9% |
| Epoch  89, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.9% |
| Epoch  90, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.004, TAw acc= 99.9% | lr=5.0e-02
| Epoch  91, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.002, TAw acc= 99.9% |
| Epoch  92, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.001, TAw acc= 99.9% |
| Epoch  93, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.003, TAw acc= 99.9% |
| Epoch  94, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.9% |
| Epoch  95, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.9% | lr=5.0e-02
| Epoch  96, time=  3.2s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.9% |
| Epoch  97, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc= 99.9% |
| Epoch  98, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.9% |
| Epoch  99, time=  2.4s | Train: skip eval | Valid: time=  0.8s loss=0.002, TAw acc= 99.9% |
| Epoch 100, time=  2.4s | Train: skip eval | Valid: time=  0.9s loss=0.002, TAw acc= 99.9% | lr=5.0e-02
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.003 | TAw acc=100.0%, forg=  0.0%| TAg acc=100.0%, forg=  0.0% <<<
Save at ../mnist_mas_result5t/mnist_mas
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time=  3.5s | Train: skip eval | Valid: time=  1.2s loss=0.036, TAw acc= 99.6% | *
| Epoch   2, time=  3.8s | Train: skip eval | Valid: time=  0.7s loss=0.028, TAw acc= 99.7% | *
| Epoch   3, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.020, TAw acc= 99.8% | *
| Epoch   4, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.018, TAw acc= 99.9% | *
| Epoch   5, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.020, TAw acc= 99.8% |
| Epoch   6, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.018, TAw acc=100.0% |
| Epoch   7, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.024, TAw acc= 99.7% |
| Epoch   8, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.018, TAw acc=100.0% |
| Epoch   9, time=  3.6s | Train: skip eval | Valid: time=  0.6s loss=0.034, TAw acc= 99.5% | lr=5.0e-02
| Epoch  10, time=  4.5s | Train: skip eval | Valid: time=  0.8s loss=0.022, TAw acc= 99.8% |
| Epoch  11, time=  3.5s | Train: skip eval | Valid: time=  0.8s loss=0.019, TAw acc= 99.9% |
| Epoch  12, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=0.021, TAw acc= 99.8% |
| Epoch  13, time=  3.6s | Train: skip eval | Valid: time=  0.6s loss=0.018, TAw acc=100.0% |
| Epoch  14, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.020, TAw acc= 99.8% | lr=5.0e-02
| Epoch  15, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.016, TAw acc=100.0% | *
| Epoch  16, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.021, TAw acc= 99.8% |
| Epoch  17, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.020, TAw acc= 99.9% |
| Epoch  18, time=  4.1s | Train: skip eval | Valid: time=  0.6s loss=0.018, TAw acc=100.0% |
| Epoch  19, time=  3.5s | Train: skip eval | Valid: time=  0.6s loss=0.020, TAw acc=100.0% |
| Epoch  20, time=  3.3s | Train: skip eval | Valid: time=  1.4s loss=0.024, TAw acc= 99.8% | lr=5.0e-02
| Epoch  21, time=  3.6s | Train: skip eval | Valid: time=  0.6s loss=0.021, TAw acc= 99.9% |
| Epoch  22, time=  3.2s | Train: skip eval | Valid: time=  0.8s loss=0.017, TAw acc=100.0% |
| Epoch  23, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.022, TAw acc= 99.8% |
| Epoch  24, time=  3.4s | Train: skip eval | Valid: time=  0.5s loss=0.021, TAw acc= 99.9% |
| Epoch  25, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.028, TAw acc= 99.7% | lr=5.0e-02
| Epoch  26, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.023, TAw acc= 99.7% |
| Epoch  27, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.018, TAw acc=100.0% |
| Epoch  28, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.024, TAw acc= 99.7% |
| Epoch  29, time=  4.1s | Train: skip eval | Valid: time=  0.6s loss=0.023, TAw acc= 99.8% |
| Epoch  30, time=  3.6s | Train: skip eval | Valid: time=  0.7s loss=0.022, TAw acc= 99.9% | lr=5.0e-02
| Epoch  31, time=  3.4s | Train: skip eval | Valid: time=  0.8s loss=0.021, TAw acc= 99.8% |
| Epoch  32, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.020, TAw acc= 99.9% |
| Epoch  33, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=0.019, TAw acc= 99.9% |
| Epoch  34, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.021, TAw acc= 99.9% |
| Epoch  35, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.022, TAw acc= 99.9% | lr=5.0e-02
| Epoch  36, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.016, TAw acc= 99.9% |
| Epoch  37, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.025, TAw acc= 99.8% |
| Epoch  38, time=  3.5s | Train: skip eval | Valid: time=  0.6s loss=0.019, TAw acc=100.0% |
| Epoch  39, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.021, TAw acc= 99.8% |
| Epoch  40, time=  4.0s | Train: skip eval | Valid: time=  0.8s loss=0.021, TAw acc=100.0% | lr=5.0e-02
| Epoch  41, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=0.017, TAw acc= 99.9% |
| Epoch  42, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=0.025, TAw acc= 99.5% |
| Epoch  43, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.024, TAw acc= 99.8% |
| Epoch  44, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.026, TAw acc= 99.7% |
| Epoch  45, time=  3.5s | Train: skip eval | Valid: time=  0.6s loss=0.024, TAw acc= 99.9% | lr=5.0e-02
| Epoch  46, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.018, TAw acc= 99.9% |
| Epoch  47, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.018, TAw acc=100.0% |
| Epoch  48, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.024, TAw acc= 99.9% |
| Epoch  49, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.020, TAw acc=100.0% |
| Epoch  50, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.024, TAw acc= 99.9% | lr=5.0e-02
| Epoch  51, time=  4.0s | Train: skip eval | Valid: time=  0.5s loss=0.021, TAw acc= 99.8% |
| Epoch  52, time=  3.3s | Train: skip eval | Valid: time=  0.9s loss=0.019, TAw acc= 99.9% |
| Epoch  53, time=  3.4s | Train: skip eval | Valid: time=  0.9s loss=0.020, TAw acc= 99.9% |
| Epoch  54, time=  3.5s | Train: skip eval | Valid: time=  0.5s loss=0.021, TAw acc= 99.9% |
| Epoch  55, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=0.026, TAw acc= 99.8% | lr=5.0e-02
| Epoch  56, time=  3.5s | Train: skip eval | Valid: time=  0.5s loss=0.020, TAw acc= 99.8% |
| Epoch  57, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.022, TAw acc= 99.7% |
| Epoch  58, time=  3.5s | Train: skip eval | Valid: time=  0.6s loss=0.019, TAw acc= 99.9% |
| Epoch  59, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.026, TAw acc= 99.7% |
| Epoch  60, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.027, TAw acc= 99.7% | lr=5.0e-02
| Epoch  61, time=  3.3s | Train: skip eval | Valid: time=  1.8s loss=0.022, TAw acc= 99.7% |
| Epoch  62, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.019, TAw acc= 99.8% |
| Epoch  63, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.026, TAw acc= 99.6% |
| Epoch  64, time=  3.3s | Train: skip eval | Valid: time=  0.9s loss=0.022, TAw acc= 99.9% |
| Epoch  65, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.022, TAw acc=100.0% | lr=5.0e-02
| Epoch  66, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.019, TAw acc= 99.8% |
| Epoch  67, time=  3.5s | Train: skip eval | Valid: time=  0.6s loss=0.023, TAw acc= 99.8% |
| Epoch  68, time=  3.6s | Train: skip eval | Valid: time=  0.6s loss=0.019, TAw acc=100.0% |
| Epoch  69, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.021, TAw acc= 99.9% |
| Epoch  70, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.021, TAw acc=100.0% | lr=5.0e-02
| Epoch  71, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.022, TAw acc= 99.7% |
| Epoch  72, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.021, TAw acc= 99.8% |
| Epoch  73, time=  4.1s | Train: skip eval | Valid: time=  0.7s loss=0.021, TAw acc= 99.8% |
| Epoch  74, time=  3.4s | Train: skip eval | Valid: time=  0.8s loss=0.021, TAw acc= 99.9% |
| Epoch  75, time=  3.3s | Train: skip eval | Valid: time=  1.0s loss=0.022, TAw acc= 99.9% | lr=5.0e-02
| Epoch  76, time=  3.4s | Train: skip eval | Valid: time=  0.8s loss=0.021, TAw acc= 99.7% |
| Epoch  77, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.016, TAw acc=100.0% |
| Epoch  78, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.019, TAw acc=100.0% |
| Epoch  79, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.025, TAw acc= 99.8% |
| Epoch  80, time=  3.5s | Train: skip eval | Valid: time=  0.6s loss=0.022, TAw acc= 99.9% | lr=5.0e-02
| Epoch  81, time=  3.4s | Train: skip eval | Valid: time=  0.9s loss=0.023, TAw acc= 99.7% |
| Epoch  82, time=  3.2s | Train: skip eval | Valid: time=  0.5s loss=0.020, TAw acc= 99.9% |
| Epoch  83, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.022, TAw acc= 99.7% |
| Epoch  84, time=  3.8s | Train: skip eval | Valid: time=  0.7s loss=0.020, TAw acc=100.0% |
| Epoch  85, time=  3.4s | Train: skip eval | Valid: time=  0.8s loss=0.021, TAw acc= 99.9% | lr=5.0e-02
| Epoch  86, time=  3.3s | Train: skip eval | Valid: time=  1.0s loss=0.029, TAw acc= 99.7% |
| Epoch  87, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.020, TAw acc= 99.8% |
| Epoch  88, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.020, TAw acc= 99.8% |
| Epoch  89, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.024, TAw acc= 99.9% |
| Epoch  90, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.027, TAw acc= 99.8% | lr=5.0e-02
| Epoch  91, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.017, TAw acc=100.0% |
| Epoch  92, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.018, TAw acc= 99.9% |
| Epoch  93, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.020, TAw acc= 99.9% |
| Epoch  94, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.020, TAw acc=100.0% |
| Epoch  95, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.027, TAw acc= 99.6% | lr=5.0e-02
| Epoch  96, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.020, TAw acc= 99.9% |
| Epoch  97, time=  3.3s | Train: skip eval | Valid: time=  0.5s loss=0.023, TAw acc= 99.7% |
| Epoch  98, time=  4.1s | Train: skip eval | Valid: time=  0.6s loss=0.019, TAw acc= 99.9% |
| Epoch  99, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.020, TAw acc= 99.9% |
| Epoch 100, time=  3.7s | Train: skip eval | Valid: time=  0.7s loss=0.025, TAw acc= 99.8% | lr=5.0e-02
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.113 | TAw acc= 96.1%, forg=  3.9%| TAg acc= 26.7%, forg= 73.3% <<<
>>> Test on task  1 : loss=0.007 | TAw acc= 99.7%, forg=  0.0%| TAg acc= 97.5%, forg=  0.0% <<<
Save at ../mnist_mas_result5t/mnist_mas
************************************************************************************************************
Task  2
************************************************************************************************************
| Epoch   1, time=  3.6s | Train: skip eval | Valid: time=  0.9s loss=0.025, TAw acc= 99.9% | *
| Epoch   2, time=  3.7s | Train: skip eval | Valid: time=  0.8s loss=0.019, TAw acc=100.0% | *
| Epoch   3, time=  3.6s | Train: skip eval | Valid: time=  0.7s loss=0.056, TAw acc= 99.7% |
| Epoch   4, time=  3.4s | Train: skip eval | Valid: time=  1.5s loss=0.020, TAw acc= 99.9% |
| Epoch   5, time=  3.6s | Train: skip eval | Valid: time=  0.6s loss=0.024, TAw acc= 99.8% |
| Epoch   6, time=  3.4s | Train: skip eval | Valid: time=  0.5s loss=0.033, TAw acc= 99.6% |
| Epoch   7, time=  3.8s | Train: skip eval | Valid: time=  0.7s loss=0.020, TAw acc=100.0% | lr=5.0e-02
| Epoch   8, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.020, TAw acc=100.0% |
| Epoch   9, time=  3.7s | Train: skip eval | Valid: time=  0.7s loss=0.048, TAw acc= 99.4% |
| Epoch  10, time=  3.7s | Train: skip eval | Valid: time=  0.6s loss=0.058, TAw acc= 99.8% |
| Epoch  11, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.024, TAw acc= 99.9% |
| Epoch  12, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.026, TAw acc=100.0% | lr=5.0e-02
| Epoch  13, time=  4.0s | Train: skip eval | Valid: time=  0.7s loss=0.023, TAw acc= 99.8% |
| Epoch  14, time=  3.5s | Train: skip eval | Valid: time=  0.9s loss=0.053, TAw acc= 99.7% |
| Epoch  15, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.024, TAw acc= 99.9% |
| Epoch  16, time=  3.6s | Train: skip eval | Valid: time=  0.7s loss=0.143, TAw acc= 96.8% |
| Epoch  17, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.030, TAw acc= 99.8% | lr=5.0e-02
| Epoch  18, time=  3.6s | Train: skip eval | Valid: time=  0.7s loss=0.019, TAw acc= 99.9% | *
| Epoch  19, time=  3.8s | Train: skip eval | Valid: time=  0.7s loss=0.017, TAw acc= 99.9% | *
| Epoch  20, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.022, TAw acc= 99.8% |
